터미널: 감곡시외터미널
출발,요금(어른),소요시간
07:00,11,900 원,01:59
09:46,11,900 원,02:05
19:00,11,900 원,02:05
터미널: 강릉시외버스터미널
출발,요금(어른),소요시간
07:10,25,200 원,02:49
09:20,25,200 원,02:49
11:40,25,200 원,02:49
16:20,25,200 원,02:49
18:20,25,200 원,02:49
터미널: 고양종합터미널
출발,요금(어른),소요시간
07:10,17,600 원,02:36
08:40,17,600 원,02:36
10:10,17,600 원,02:36
11:20,17,600 원,02:36
12:40,17,600 원,02:36
14:10,17,600 원,02:36
15:10,17,600 원,02:36
17:10,17,600 원,02:36
18:20,17,600 원,02:36
19:30,17,600 원,02:36
터미널: 고한사북공영버스터미널
출발,요금(어른),소요시간
17:20,27,700 원,02:23
터미널: 고현버스터미널
출발,요금(어른),소요시간
08:00,35,100 원,03:45
10:30,35,100 원,03:45
17:00,35,100 원,03:45
터미널: 공단정류소
출발,요금(어른),소요시간
07:00,15,600 원,02:08
08:10,15,600 원,02:08
11:40,12,000 원,02:08
13:25,15,600 원,02:08
15:00,15,600 원,02:08
16:10,15,600 원,02:08
17:30,12,000 원,02:08
19:00,15,600 원,02:08
터미널: 공도정류소
출발,요금(어른),소요시간
09:00,5,500 원,00:55
13:35,5,500 원,00:55
18:00,5,500 원,00:55
터미널: 공주종합버스터미널
출발,요금(어른),소요시간
12:30,7,100 원,01:31
18:30,7,100 원,01:31
20:00,7,100 원,01:31
터미널: 관기공동정류장
출발,요금(어른),소요시간
15:45,10,400 원,01:47
20:10,10,400 원,01:47
터미널: 광양터미널
출발,요금(어른),소요시간
09:15,29,400 원,03:18
14:40,29,400 원,03:18
터미널: 광주종합터미널
출발,요금(어른),소요시간
07:00,8,500 원,01:32
13:15,8,500 원,01:32
터미널: 광혜원터미널
출발,요금(어른),소요시간
08:50,7,600 원,01:29
10:35,7,600 원,01:29
14:00,7,600 원,01:29
16:44,7,600 원,01:29
19:00,7,600 원,01:29
터미널: 괴산시외버스공용터미널
출발,요금(어른),소요시간
