터미널,출발,요금(어른),소요시간
감곡시외터미널,출발,요금(어른),소요시간
감곡시외터미널,07:00,"11,900 원",01:59
감곡시외터미널,09:46,"11,900 원",02:05
감곡시외터미널,19:00,"11,900 원",02:05
강릉시외버스터미널,출발,요금(어른),소요시간
강릉시외버스터미널,07:10,"25,200 원",02:49
강릉시외버스터미널,09:20,"25,200 원",02:49
강릉시외버스터미널,11:40,"25,200 원",02:49
강릉시외버스터미널,16:20,"25,200 원",02:49
강릉시외버스터미널,18:20,"25,200 원",02:49
고양종합터미널,출발,요금(어른),소요시간
고양종합터미널,07:10,"17,600 원",02:36
고양종합터미널,08:40,"17,600 원",02:36
고양종합터미널,10:10,"17,600 원",02:36
고양종합터미널,11:20,"17,600 원",02:36
고양종합터미널,12:40,"17,600 원",02:36
고양종합터미널,14:10,"17,600 원",02:36
고양종합터미널,15:10,"17,600 원",02:36
고양종합터미널,17:10,"17,600 원",02:36
고양종합터미널,18:20,"17,600 원",02:36
고양종합터미널,19:30,"17,600 원",02:36
고한사북공영버스터미널,출발,요금(어른),소요시간
고한사북공영버스터미널,17:20,"27,700 원",02:23
고현버스터미널,출발,요금(어른),소요시간
고현버스터미널,08:00,"35,100 원",03:45
고현버스터미널,10:30,"35,100 원",03:45
고현버스터미널,17:00,"35,100 원",03:45
공단정류소,출발,요금(어른),소요시간
공단정류소,07:00,"15,600 원",02:08
공단정류소,08:10,"15,600 원",02:08
공단정류소,11:40,"12,000 원",02:08
공단정류소,13:25,"15,600 원",02:08
공단정류소,15:00,"15,600 원",02:08
공단정류소,16:10,"15,600 원",02:08
공단정류소,17:30,"12,000 원",02:08
공단정류소,19:00,"15,600 원",02:08
공도정류소,출발,요금(어른),소요시간
공도정류소,09:00,"5,500 원",00:55
공도정류소,13:35,"5,500 원",00:55
공도정류소,18:00,"5,500 원",00:55
공주종합버스터미널,출발,요금(어른),소요시간
공주종합버스터미널,12:30,"7,100 원",01:31
공주종합버스터미널,18:30,"7,100 원",01:31
공주종합버스터미널,20:00,"7,100 원",01:31
관기공동정류장,출발,요금(어른),소요시간
관기공동정류장,15:45,"10,400 원",01:47
관기공동정류장,20:10,"10,400 원",01:47
광양터미널,출발,요금(어른),소요시간
광양터미널,09:15,"29,400 원",03:18
광양터미널,14:40,"29,400 원",03:18
광주종합터미널,출발,요금(어른),소요시간
광주종합터미널,07:00,"8,500 원",01:32
광주종합터미널,13:15,"8,500 원",01:32
광혜원터미널,출발,요금(어른),소요시간
광혜원터미널,08:50,"7,600 원",01:29
광혜원터미널,10:35,"7,600 원",01:29
광혜원터미널,14:00,"7,600 원",01:29
광혜원터미널,16:44,"7,600 원",01:29
광혜원터미널,19:00,"7,600 원",01:29
괴산시외버스공용터미널,출발,요금(어른),소요시간
괴산시외버스공용터미널,07:22,"7,400 원",01:20
괴산시외버스공용터미널,11:34,"7,400 원",01:20
괴산시외버스공용터미널,16:50,"7,400 원",01:20
구미종합버스터미널,출발,요금(어른),소요시간
구미종합버스터미널,07:00,"15,000 원",01:58
구미종합버스터미널,08:10,"15,000 원",01:58
구미종합버스터미널,11:40,"11,500 원",01:58
구미종합버스터미널,13:25,"15,000 원",01:58
구미종합버스터미널,15:00,"15,000 원",01:58
구미종합버스터미널,16:10,"15,000 원",01:58
구미종합버스터미널,17:30,"11,500 원",01:58
구미종합버스터미널,19:00,"15,000 원",01:58
군산시외버스터미널,출발,요금(어른),소요시간
군산시외버스터미널,09:20,"16,000 원",03:03
군산시외버스터미널,10:40,"16,000 원",03:03
군산시외버스터미널,13:05,"16,000 원",03:03
군산시외버스터미널,16:15,"16,000 원",03:03
군산시외버스터미널,17:55,"16,000 원",03:03
금왕임시정류소,출발,요금(어른),소요시간
금왕임시정류소,06:40,"8,900 원",01:47
금왕임시정류소,07:00,"8,900 원",01:34
금왕임시정류소,09:46,"8,900 원",01:40
금왕임시정류소,10:10,"8,900 원",01:47
금왕임시정류소,11:36,"8,900 원",01:40
금왕임시정류소,15:36,"8,900 원",01:47
금왕임시정류소,17:40,"8,900 원",01:47
금왕임시정류소,18:41,"8,900 원",01:47
금왕임시정류소,19:00,"8,900 원",01:40
기흥역시외버스정류소,출발,요금(어른),소요시간
기흥역시외버스정류소,07:10,"8,700 원",01:34
기흥역시외버스정류소,09:50,"8,700 원",01:34
기흥역시외버스정류소,12:30,"8,700 원",01:34
기흥역시외버스정류소,15:25,"8,700 원",01:34
기흥역시외버스정류소,18:25,"8,700 원",01:34
남청주정류소,출발,요금(어른),소요시간
남청주정류소,07:10,"1,700 원",00:18
남청주정류소,16:30,"1,700 원",00:20
논산버스터미널,출발,요금(어른),소요시간
논산버스터미널,08:30,"12,200 원",02:20
단양시외버스터미널,출발,요금(어른),소요시간
단양시외버스터미널,12:37,"21,800 원",04:18
단양시외버스터미널,17:39,"21,800 원",04:18
대소버스공동정류장,출발,요금(어른),소요시간
대소버스공동정류장,08:50,"8,300 원",01:38
대소버스공동정류장,10:35,"8,300 원",01:38
대소버스공동정류장,14:00,"8,300 원",01:38
대소버스공동정류장,16:44,"8,300 원",01:38
대소버스공동정류장,19:00,"8,300 원",01:38
대야공용버스터미널,출발,요금(어른),소요시간
대야공용버스터미널,09:20,"14,700 원",02:44
대야공용버스터미널,10:40,"14,700 원",02:44
대야공용버스터미널,13:05,"14,700 원",02:44
대야공용버스터미널,16:15,"14,700 원",02:44
대야공용버스터미널,17:55,"14,700 원",02:44
대전복합터미널,출발,요금(어른),소요시간
대전복합터미널,06:20,"6,200 원",01:00
대전복합터미널,06:27,"4,800 원",01:00
대전복합터미널,06:48,"6,200 원",01:00
대전복합터미널,07:14,"6,200 원",01:00
대전복합터미널,07:21,"4,800 원",01:00
대전복합터미널,08:11,"4,800 원",01:00
대전복합터미널,08:46,"4,800 원",01:00
대전복합터미널,08:56,"4,800 원",01:00
대전복합터미널,09:21,"6,200 원",01:00
대전복합터미널,09:36,"4,800 원",01:00
대전복합터미널,10:56,"6,200 원",01:00
대전복합터미널,11:21,"6,200 원",01:00
대전복합터미널,12:04,"6,200 원",01:00
대전복합터미널,12:21,"4,800 원",01:00
대전복합터미널,12:26,"4,800 원",01:00
대전복합터미널,12:43,"4,800 원",01:00
대전복합터미널,12:45,"4,800 원",01:00
대전복합터미널,13:01,"6,200 원",01:00
대전복합터미널,13:34,"6,200 원",01:00
대전복합터미널,13:59,"6,200 원",01:00
대전복합터미널,14:09,"4,800 원",01:00
대전복합터미널,14:42,"6,200 원",01:00
대전복합터미널,14:45,"4,800 원",01:00
대전복합터미널,14:58,"6,200 원",01:00
대전복합터미널,15:13,"4,800 원",01:00
대전복합터미널,16:11,"6,200 원",01:00
대전복합터미널,16:26,"4,800 원",01:00
대전복합터미널,16:46,"6,200 원",01:00
대전복합터미널,17:04,"6,200 원",01:00
대전복합터미널,18:04,"6,200 원",01:00
대전복합터미널,18:14,"4,800 원",01:00
대전복합터미널,18:54,"6,200 원",01:00
대전복합터미널,19:04,"4,800 원",01:00
대전복합터미널,19:27,"6,200 원",01:00
대전복합터미널,19:42,"4,800 원",01:00
대전복합터미널,20:50,"4,800 원",01:00
대전복합터미널,22:00,"5,300 원",01:00
대전청사시외버스둔산정류소,출발,요금(어른),소요시간
대전청사시외버스둔산정류소,08:00,"5,200 원",00:47
덕산진천정류소,출발,요금(어른),소요시간
덕산진천정류소,06:40,"6,900 원",01:19
덕산진천정류소,10:10,"6,900 원",01:19
덕산진천정류소,11:36,"6,900 원",01:19
덕산진천정류소,15:36,"6,900 원",01:19
덕산진천정류소,17:40,"6,900 원",01:19
덕산진천정류소,18:41,"6,900 원",01:19
덕진공용정류장,출발,요금(어른),소요시간
도안,출발,요금(어른),소요시간
도안,07:22,"4,800 원",00:59
도안,11:34,"4,800 원",00:59
도안,16:50,"4,800 원",00:59
동서울종합터미널,출발,요금(어른),소요시간
동서울종합터미널,06:00,"12,800 원",02:00
동서울종합터미널,06:30,"12,800 원",02:00
동서울종합터미널,07:00,"12,800 원",02:00
동서울종합터미널,07:40,"12,800 원",02:00
동서울종합터미널,08:00,"12,800 원",02:00
동서울종합터미널,08:30,"12,800 원",02:00
동서울종합터미널,08:40,"12,800 원",02:00
동서울종합터미널,09:00,"12,800 원",02:00
동서울종합터미널,09:40,"12,800 원",02:00
동서울종합터미널,10:00,"12,800 원",02:00
동서울종합터미널,10:20,"12,800 원",02:00
동서울종합터미널,11:00,"12,800 원",02:00
동서울종합터미널,11:20,"12,800 원",02:00
동서울종합터미널,11:40,"9,900 원",02:00
동서울종합터미널,12:20,"12,800 원",02:00
동서울종합터미널,12:40,"12,800 원",02:00
동서울종합터미널,13:00,"12,800 원",02:00
동서울종합터미널,13:40,"12,800 원",02:00
동서울종합터미널,14:40,"12,800 원",02:00
동서울종합터미널,15:20,"12,800 원",02:00
